Date,Wealth,Invested
2011-10-21,10671.837143780456,10000.0
2011-10-24,10852.451684507954,10024.015638089919
2011-10-25,10710.93527484655,10048.031276179838
2011-10-26,10756.601675387405,10072.046914269757
2011-10-27,10967.799126151105,10096.062552359675
2011-10-28,11012.764626907798,10120.078190449594
2011-10-31,10831.980670056933,10144.093828539513
2011-11-01,11124.094016862276,10168.109466629434
2011-11-02,11203.797529462418,10192.125104719353
2011-11-03,11332.117660907608,10216.140742809272
2011-11-04,11361.573839446704,10240.15638089919
2011-11-07,11417.45753654245,10264.17201898911
2011-11-08,11493.58185042588,10288.187657079028
2011-11-09,11213.421723314636,10312.203295168947
2011-11-10,11132.871184218277,10336.218933258866
2011-11-11,11361.879531844152,10360.234571348785
2011-11-14,11349.30748104302,10384.250209438704
2011-11-15,11395.574364835322,10408.265847528623
2011-11-16,11217.348728710936,10432.281485618541
2011-11-17,11074.502596373852,10456.297123708462
2011-11-18,11015.551316474675,10480.312761798381
2011-11-21,10844.437480784272,10504.3283998883
2011-11-22,10834.542064440911,10528.344037978219
2011-11-23,10616.074566801293,10552.359676068138
2011-11-25,10568.409857399593,10576.375314158056
2011-11-28,10859.900169520552,10600.390952247975
2011-11-29,10916.400221143142,10624.406590337894
2011-11-30,11219.8927962875,10648.422228427813
2011-12-01,11836.668927409744,10672.437866517732
2011-12-02,11811.495413120167,10696.45350460765
2011-12-05,11892.94685731216,10720.46914269757
2011-12-06,11872.353617996903,10744.48478078749
2011-12-07,11911.798957584104,10768.50041887741
2011-12-08,11738.65038088688,10792.516056967328
2011-12-09,11820.965290206657,10816.531695057247
2011-12-12,11729.72933797372,10840.547333147166
2011-12-13,11590.788953119703,10864.562971237085
2011-12-14,11458.170220953441,10888.578609327004
2011-12-15,11411.726712778209,10912.594247416922
2011-12-16,11474.37648208896,10936.609885506841
2011-12-19,11325.39238962394,10960.62552359676
2011-12-20,11587.41291670758,10984.641161686679
2011-12-21,11614.677817404898,11008.656799776598
2011-12-22,11667.013943258773,11032.672437866517
2011-12-23,11771.532594879634,11056.688075956437
2011-12-27,11764.97179596907,11080.703714046356
2011-12-28,11627.066545487349,11104.719352136275
2011-12-29,11698.736572235504,11128.734990226194
2011-12-30,11666.02370676039,11152.750628316113
2012-01-03,12385.880535107,11176.766266406032
2012-01-04,12393.04272436927,11200.78190449595
2012-01-05,12424.887708189104,11224.79754258587
2012-01-06,12388.122472970681,11248.813180675788
2012-01-09,12356.476461727922,11272.828818765707
2012-01-10,12466.79630819479,11296.844456855626
2012-01-11,12453.847284625032,11320.860094945547
2012-01-12,12504.145683389712,11344.875733035466
2012-01-13,12474.90345280011,11368.891371125384
