Date,PV_KRW,Signal
2007-06-01,92687482.18627091,NORMAL
2007-06-04,93475837.32969907,NORMAL
2007-06-05,92807629.60387228,NORMAL
2007-06-06,91928363.6657109,NORMAL
2007-06-07,89549643.45801918,NORMAL
2007-06-08,91202900.98514608,NORMAL
2007-06-11,91135021.54460208,NORMAL
2007-06-12,90099150.28262857,NORMAL
2007-06-13,91608004.95173743,NORMAL
2007-06-14,92887724.32420717,NORMAL
2007-06-15,93526389.25293548,NORMAL
2007-06-18,94070373.69372441,NORMAL
2007-06-19,93680482.17034581,NORMAL
2007-06-20,92700787.24380738,NORMAL
2007-06-21,93378625.81175749,NORMAL
2007-06-22,91718709.53053656,NORMAL
2007-06-25,91953121.51879328,NORMAL
2007-06-26,90930168.72380996,NORMAL
2007-06-27,91677717.41311142,NORMAL
2007-06-28,92590121.69429567,NORMAL
2007-06-29,91833085.79953837,NORMAL
2007-07-02,93053988.7554254,NORMAL
2007-07-03,93513195.02368364,NORMAL
2007-07-04,93707913.73948178,NORMAL
2007-07-05,94535524.65723853,NORMAL
2007-07-06,95438123.57565472,NORMAL
2007-07-09,95886516.82379796,NORMAL
2007-07-10,94290165.78604129,NORMAL
2007-07-11,95568226.07470478,NORMAL
2007-07-12,97495148.91950424,NORMAL
2007-07-13,98532097.1848583,NORMAL
2007-07-16,98293634.06696759,NORMAL
2007-07-17,98645059.74567184,NORMAL
2007-07-18,98418153.55293061,NORMAL
2007-07-19,99004731.58948348,NORMAL
2007-07-20,98502763.07624392,NORMAL
2007-07-23,99044516.63230315,NORMAL
2007-07-24,96821431.98372643,NORMAL
2007-07-25,96982660.68938406,NORMAL
2007-07-26,94679442.1817534,NORMAL
2007-07-27,92730233.27636532,NORMAL
2007-07-30,94878298.35375404,NORMAL
2007-07-31,92687769.5612151,NORMAL
2007-08-01,93935838.95784838,NORMAL
2007-08-02,93821564.34079671,NORMAL
2007-08-03,91264564.0983174,NORMAL
2007-08-06,93027297.72022621,NORMAL
2007-08-07,93797297.02874391,NORMAL
2007-08-08,95981109.76578298,NORMAL
2007-08-09,92030707.17845449,NORMAL
2007-08-10,91864800.64640285,NORMAL
2007-08-13,92306061.0528558,NORMAL
2007-08-14,90647926.655255,NORMAL
2007-08-15,88027668.24530882,NORMAL
2007-08-16,88414520.06316698,DANGER
2007-08-17,90204995.72012962,DANGER
2007-08-20,89737687.63680387,DANGER
2007-08-21,89839139.25290552,DANGER
2007-08-22,91313997.08827956,NORMAL
2007-08-23,91057709.5585937,NORMAL
2007-08-24,92846629.50382221,NORMAL
2007-08-27,91332446.47198462,NORMAL
2007-08-28,88907709.73099123,NORMAL
2007-08-29,91316831.2765481,DANGER
2007-08-30,91803496.84899488,NORMAL
2007-08-31,93090168.50994632,NORMAL
2007-09-03,92524931.82240792,NORMAL
2007-09-04,95127258.12510745,NORMAL
2007-09-05,93717496.2148387,NORMAL
2007-09-06,94291089.78801161,NORMAL
2007-09-07,92132479.97454873,NORMAL
2007-09-10,91967309.65482718,NORMAL
2007-09-11,93234439.24131894,NORMAL
2007-09-12,93242496.51476972,NORMAL
2007-09-13,93868719.09171388,NORMAL
2007-09-14,93325851.45356674,NORMAL
2007-09-17,93181001.26334243,NORMAL
2007-09-18,95754280.00459309,NORMAL
2007-09-19,96586230.21418487,NORMAL
2007-09-20,96061574.94806287,NORMAL
2007-09-21,96431540.64613035,NORMAL
2007-09-24,97165643.89653298,NORMAL
2007-09-25,97489704.66370146,NORMAL
2007-09-26,98276718.43424572,NORMAL
2007-09-27,99160418.12666753,NORMAL
2007-09-28,98006918.99947615,NORMAL
2007-10-01,99945141.51380251,NORMAL
2007-10-02,100140240.9469545,NORMAL
2007-10-03,97404178.23196249,NORMAL
2007-10-04,99675681.82822686,NORMAL
2007-10-05,102514347.28563592,NORMAL
2007-10-08,102080389.63523073,NORMAL
2007-10-09,103453103.77227522,NORMAL
2007-10-10,103708829.37074897,NORMAL
2007-10-11,102449922.2392162,NORMAL
2007-10-12,103844195.13115767,NORMAL
2007-10-15,102724504.2368398,NORMAL
2007-10-16,101617068.65692694,NORMAL
2007-10-17,102985627.06678806,NORMAL
2007-10-18,103670850.9840442,NORMAL
2007-10-19,99614317.37201506,NORMAL
2007-10-22,100423374.9843663,NORMAL
2007-10-23,103085577.95000564,NORMAL
2007-10-24,102445663.86509283,NORMAL
2007-10-25,102519053.49909407,NORMAL
2007-10-26,103932382.19722359,NORMAL
2007-10-29,104554646.98204283,NORMAL
2007-10-30,103649626.20714954,NORMAL
2007-10-31,105589115.54277076,NORMAL
2007-11-01,103257199.21915896,NORMAL
2007-11-02,104545664.20666887,NORMAL
2007-11-05,103222164.68716514,NORMAL
2007-11-06,105694699.04645208,NORMAL
2007-11-07,102363941.84732908,NORMAL
2007-11-08,98590775.72478105,NORMAL
2007-11-09,95442585.39114892,NORMAL
2007-11-12,92189932.15415934,NORMAL
2007-11-13,95279105.07713181,DANGER
2007-11-14,93446361.02611773,NORMAL
2007-11-15,91638600.11384818,NORMAL
2007-11-16,91951865.69157816,DANGER
2007-11-19,90091648.7126929,NORMAL
2007-11-20,91765059.87498675,DANGER
2007-11-21,91512407.63379951,DANGER
2007-11-22,91573329.06797479,DANGER
2007-11-23,92825910.69730231,DANGER
2007-11-26,92183737.47912206,DANGER
2007-11-27,92605866.7852542,DANGER
2007-11-28,93586600.35566397,DANGER
2007-11-29,93069641.54816541,NORMAL
2007-11-30,92160339.04645239,NORMAL
2007-12-03,92489260.37217773,NORMAL
2007-12-04,91138047.5688527,NORMAL
2007-12-05,94485139.82255569,NORMAL
2007-12-06,94950677.78916949,NORMAL
2007-12-07,94679919.77197514,NORMAL
2007-12-10,95491394.9328535,NORMAL
2007-12-11,92448493.0983788,NORMAL
2007-12-12,94111251.90305085,NORMAL
2007-12-13,92459735.38001265,NORMAL
2007-12-14,91805093.29365753,NORMAL
2007-12-17,88873125.99034306,NORMAL
2007-12-18,89928105.32199308,DANGER
2007-12-19,90999776.61366385,DANGER
2007-12-20,91300613.77885386,DANGER
2007-12-21,92586745.35684595,NORMAL
2007-12-24,92005037.35817835,NORMAL
2007-12-25,93522005.40071213,NORMAL
2007-12-26,93394641.37040824,NORMAL
2007-12-27,92505691.3037902,NORMAL
2007-12-28,92384204.50428015,NORMAL
2007-12-31,90384817.50644355,NORMAL
2008-01-01,91824949.64746326,NORMAL
2008-01-02,89753044.03044227,NORMAL
2008-01-03,89812383.073698,DANGER
2008-01-04,86626718.21401136,NORMAL
2008-01-07,86448101.61999813,DANGER
2008-01-08,86666979.25997081,DANGER
2008-01-09,86854175.40431468,DANGER
2008-01-10,87134708.77012986,DANGER
2008-01-11,86909939.84104678,DANGER
2008-01-14,87685402.46968149,DANGER
2008-01-15,86112985.17682973,DANGER
2008-01-16,85079342.98777321,DANGER
2008-01-17,85362044.08580568,DANGER
2008-01-18,85332855.32075107,DANGER
2008-01-21,85990684.65787858,DANGER
2008-01-22,85742731.62611008,DANGER
2008-01-23,85627139.30389234,DANGER
2008-01-24,86433983.12786931,DANGER
2008-01-25,86643237.54614915,DANGER
2008-01-28,87562350.46718325,DANGER
2008-01-29,86994692.8487475,DANGER
2008-01-30,86244272.37795652,DANGER
2008-01-31,87098802.84721404,DANGER
2008-02-01,87327986.09624353,DANGER
2008-02-04,86934387.76423638,DANGER
2008-02-05,85314063.51335019,DANGER
2008-02-06,85193963.27232873,DANGER
2008-02-07,85785229.17533685,DANGER
2008-02-08,86508387.6273732,DANGER
2008-02-11,87269339.46588476,DANGER
2008-02-12,86675894.75036465,DANGER
2008-02-13,86854496.18755816,DANGER
2008-02-14,87097359.69859496,DANGER
2008-02-15,86839656.06071274,DANGER
2008-02-18,86893940.92658393,DANGER
2008-02-19,88379731.78166789,DANGER
2008-02-20,88604744.95712304,DANGER
2008-02-21,88814396.47321159,DANGER
2008-02-22,89343871.74932504,DANGER
2008-02-25,89551015.44879912,DANGER
2008-02-26,89833092.30926569,DANGER
2008-02-27,90478396.87514047,DANGER
2008-02-28,90205713.27298412,DANGER
2008-02-29,89547298.04776128,DANGER
2008-03-03,90837345.61682928,DANGER
2008-03-04,90114610.35622355,DANGER
2008-03-05,91557193.9050909,DANGER
2008-03-06,90649522.49197155,DANGER
2008-03-07,90657283.45690733,DANGER
2008-03-10,91265285.04673055,DANGER
2008-03-11,93108864.92353472,DANGER
2008-03-12,93018067.47373925,DANGER
2008-03-13,94183631.3958259,DANGER
2008-03-14,95041902.64258195,DANGER
2008-03-17,93494006.39944036,DANGER
2008-03-18,97030756.95991993,DANGER
2008-03-19,93918559.42126304,DANGER
2008-03-20,93195072.94039084,DANGER
2008-03-21,90425386.58736944,DANGER
2008-03-24,94329237.5002038,DANGER
2008-03-25,92355149.71085791,DANGER
2008-03-26,93632389.95577626,DANGER
2008-03-27,93831306.37951796,DANGER
2008-03-28,93589106.51158692,DANGER
2008-03-31,93066218.89876847,DANGER
2008-04-01,93068447.48159024,DANGER
2008-04-02,92259562.53665662,DANGER
2008-04-03,93023888.1768807,DANGER
2008-04-04,93330247.5039175,DANGER
2008-04-07,93977947.4039891,DANGER
2008-04-08,93584520.54813989,DANGER
2008-04-09,94118423.93028541,DANGER
2008-04-10,94291778.27677013,DANGER
