Date,Event,Status,QQQ_Price,Portfolio_Value
2018-01-03,Switch to NORMAL (QQQ/KOSPI),NORMAL,151.87307739257812,1.0
2018-10-11,Switch to UUP,DANGER,161.85223388671875,1.0150460502745282
2018-10-15,Switch to NORMAL (QQQ/KOSPI),NORMAL,164.34300231933594,1.0108775626985032
2018-10-16,Switch to XLU,DANGER,169.12408447265625,1.0016838873444807
2018-10-17,Switch to NORMAL (QQQ/KOSPI),NORMAL,169.19088745117188,1.0128693010904246
2018-10-19,Switch to BTAL,DANGER,165.1159210205078,0.9982524863703911
2018-10-22,Switch to XLP,DANGER,165.96531677246094,1.0011615911979754
2018-10-23,Switch to NORMAL (QQQ/KOSPI),NORMAL,165.3545379638672,0.9931996317173848
2018-10-24,Switch to XLP,DANGER,157.78683471679688,0.9838707350644145
2018-10-25,Switch to BTAL,DANGER,163.24554443359375,0.9739807502696277
2018-10-26,Switch to XLP,DANGER,159.04649353027344,0.9717371212308648
2018-10-30,Switch to BTAL,DANGER,158.34030151367188,0.9577126577434244
2018-10-31,Switch to XLP,DANGER,162.06214904785156,0.9610769597305301
2018-11-08,Switch to NORMAL (QQQ/KOSPI),NORMAL,166.4901580810547,0.9847309131540922
2018-11-09,Switch to XLP,DANGER,163.68447875976562,0.9809340591024895
2018-11-15,Switch to BTAL,DANGER,160.4111785888672,0.9608190867921749
2018-11-16,Switch to XLP,DANGER,159.84815979003906,0.9442605367398027
2018-11-21,Switch to BTAL,DANGER,153.04383850097656,0.9241805432459077
2018-11-22,Switch to XLP,DANGER,153.04383850097656,0.9205042335629416
2018-11-23,Switch to BTAL,DANGER,151.9368438720703,0.9186632250958158
2018-11-26,Switch to XLP,DANGER,155.44871520996094,0.9150811657699275
2018-11-30,Switch to XLU,DANGER,161.6326904296875,0.9364321222460787
2018-12-18,Switch to BTAL,DANGER,151.18292236328125,0.9157697798696376
2019-01-29,Switch to GLD,DANGER,154.63018798828125,0.9170075712573396
2019-02-15,Switch to NORMAL (QQQ/KOSPI),NORMAL,164.5547637939453,0.9317578983597682
