Date,Open,High,Low,Close,Volume
2025-08-21,2130.0,2190.0,1975.0,1977.0,13700430.0
2025-08-22,1978.0,1983.0,1978.0,1981.0,618390.0
2025-08-25,1981.0,1984.0,1980.0,1982.0,493388.0
2025-08-26,1982.0,1989.0,1980.0,1986.0,352776.0
2025-08-27,1986.0,1989.0,1984.0,1989.0,160721.0
2025-08-28,1988.0,1989.0,1986.0,1987.0,106445.0
2025-08-29,1987.0,1989.0,1986.0,1986.0,61706.0
2025-09-01,1986.0,1987.0,1982.0,1984.0,151999.0
2025-09-02,1984.0,1987.0,1984.0,1986.0,88990.0
2025-09-03,1985.0,1989.0,1985.0,1988.0,113785.0
2025-09-04,1986.0,1988.0,1986.0,1987.0,88575.0
2025-09-05,1987.0,1988.0,1987.0,1987.0,60002.0
2025-09-08,1987.0,1988.0,1983.0,1987.0,190828.0
2025-09-09,1987.0,1988.0,1985.0,1987.0,77689.0
2025-09-10,1987.0,1988.0,1986.0,1987.0,142965.0
2025-09-11,1987.0,1990.0,1987.0,1989.0,57945.0
2025-09-12,1990.0,1991.0,1989.0,1990.0,114577.0
2025-09-15,1990.0,1992.0,1989.0,1991.0,120251.0
2025-09-16,1991.0,1992.0,1990.0,1992.0,138219.0
2025-09-17,1992.0,1992.0,1990.0,1990.0,89682.0
2025-09-18,1991.0,1991.0,1987.0,1988.0,76395.0
2025-09-19,1990.0,1991.0,1987.0,1987.0,25632.0
2025-09-22,1989.0,1989.0,1984.0,1989.0,46520.0
2025-09-23,1989.0,1990.0,1985.0,1989.0,44102.0
2025-09-24,1987.0,1991.0,1987.0,1991.0,70603.0
2025-09-25,1990.0,1991.0,1988.0,1989.0,71411.0
2025-09-26,1988.0,1992.0,1988.0,1992.0,142165.0
2025-09-29,1993.0,1996.0,1990.0,1993.0,98119.0
2025-09-30,1993.0,1993.0,1985.0,1991.0,160288.0
2025-10-01,1991.0,1991.0,1987.0,1990.0,53483.0
2025-10-02,1990.0,1990.0,1988.0,1990.0,28046.0
2025-10-10,1990.0,1992.0,1988.0,1991.0,36703.0
2025-10-13,1990.0,1991.0,1989.0,1991.0,35311.0
2025-10-14,1990.0,1993.0,1988.0,1992.0,56072.0
2025-10-15,1990.0,1993.0,1990.0,1992.0,15310.0
2025-10-16,1992.0,1993.0,1989.0,1990.0,75244.0
2025-10-17,1990.0,1992.0,1990.0,1991.0,37118.0
2025-10-20,1991.0,1996.0,1991.0,1996.0,109281.0
2025-10-21,1995.0,1995.0,1991.0,1992.0,24710.0
2025-10-22,1992.0,1994.0,1991.0,1993.0,18881.0
2025-10-23,1993.0,1995.0,1993.0,1994.0,24400.0
2025-10-24,1993.0,2005.0,1992.0,1997.0,64858.0
2025-10-27,1997.0,2005.0,1995.0,1995.0,88759.0
2025-10-28,1999.0,2000.0,1994.0,1997.0,10728.0
2025-10-29,1997.0,1999.0,1994.0,1998.0,10796.0
2025-10-30,1997.0,2000.0,1996.0,2000.0,22049.0
2025-10-31,2000.0,2000.0,1994.0,1995.0,16480.0
2025-11-03,1995.0,1995.0,1992.0,1992.0,26984.0
2025-11-04,1992.0,1999.0,1992.0,1995.0,13143.0
2025-11-05,1995.0,2000.0,1992.0,1999.0,45803.0
2025-11-06,1999.0,1999.0,1994.0,1994.0,17824.0
2025-11-07,1994.0,1998.0,1992.0,1994.0,6559.0
2025-11-10,1994.0,1999.0,1991.0,1995.0,15736.0
2025-11-11,1995.0,1999.0,1993.0,1995.0,11971.0
2025-11-12,1995.0,1995.0,1988.0,1994.0,15981.0
2025-11-13,1993.0,1999.0,1989.0,1996.0,6969.0
2025-11-14,1996.0,1997.0,1993.0,1994.0,20250.0
2025-11-17,1993.0,1998.0,1993.0,1997.0,41094.0
2025-11-18,1993.0,1997.0,1990.0,1993.0,18671.0
2025-11-19,1995.0,1997.0,1992.0,1995.0,1943.0
2025-11-20,1995.0,1999.0,1991.0,1995.0,35196.0
2025-11-21,1998.0,1998.0,1995.0,1996.0,8370.0
2025-11-24,1996.0,1996.0,1991.0,1993.0,3665.0
2025-11-25,1993.0,1995.0,1985.0,1993.0,7996.0
2025-11-26,1993.0,1993.0,1988.0,1993.0,17151.0
2025-11-27,1997.0,1997.0,1990.0,1993.0,8633.0
2025-11-28,1994.0,1996.0,1985.0,1996.0,37184.0
2025-12-01,1999.0,2015.0,1989.0,2000.0,209317.0
2025-12-02,2020.0,2150.0,2010.0,2070.0,1082209.0
2025-12-03,2140.0,2140.0,2005.0,2040.0,374480.0
2025-12-04,2020.0,2050.0,2005.0,2035.0,108455.0
2025-12-05,2035.0,2040.0,2005.0,2020.0,57040.0
2025-12-08,2025.0,2030.0,2005.0,2020.0,45692.0
2025-12-09,2020.0,2020.0,2005.0,2005.0,33230.0
2025-12-10,2010.0,2015.0,2000.0,2005.0,16621.0
2025-12-11,2010.0,2010.0,1995.0,2005.0,57586.0
2025-12-12,2000.0,2005.0,1997.0,2000.0,53261.0
2025-12-15,2005.0,2005.0,1998.0,1999.0,50220.0
2025-12-16,1999.0,2005.0,1987.0,1988.0,125770.0
2025-12-17,1989.0,1999.0,1988.0,1996.0,88903.0
2025-12-18,1996.0,1996.0,1988.0,1992.0,41629.0
2025-12-19,1996.0,1998.0,1990.0,1996.0,9037.0
2025-12-22,1990.0,1999.0,1990.0,1995.0,15814.0
2025-12-23,1995.0,1999.0,1992.0,1998.0,21053.0
2025-12-24,1995.0,2010.0,1995.0,2000.0,60056.0
2025-12-26,2000.0,2010.0,2000.0,2000.0,19105.0
2025-12-29,2000.0,2005.0,1998.0,2005.0,18530.0
2025-12-30,2000.0,2010.0,2000.0,2005.0,3154.0
2026-01-02,2005.0,2005.0,2000.0,2000.0,14171.0
2026-01-05,2005.0,2010.0,2000.0,2005.0,15303.0
2026-01-06,2005.0,2010.0,2000.0,2010.0,8101.0
2026-01-07,2010.0,2010.0,2000.0,2005.0,21898.0
2026-01-08,2010.0,2010.0,2000.0,2005.0,6959.0
2026-01-09,2005.0,2010.0,2000.0,2010.0,20345.0
2026-01-12,2010.0,2015.0,2010.0,2015.0,10344.0
2026-01-13,2015.0,2015.0,2005.0,2015.0,13981.0
2026-01-14,2015.0,2020.0,2005.0,2015.0,63249.0
2026-01-15,2010.0,2015.0,2010.0,2015.0,12605.0
2026-01-16,2010.0,2020.0,2010.0,2020.0,15131.0
2026-01-19,2010.0,2020.0,2010.0,2015.0,23537.0
