Date,Open,High,Low,Close,Volume
2025-11-21,2980.0,7700.0,2100.0,2100.0,74435940.0
2025-11-24,2030.0,2030.0,1986.0,1989.0,1509563.0
2025-11-25,1990.0,1997.0,1988.0,1992.0,283597.0
2025-11-26,1997.0,1997.0,1990.0,1993.0,215438.0
2025-11-27,1992.0,1999.0,1990.0,1998.0,125448.0
2025-11-28,1993.0,2010.0,1992.0,2005.0,121324.0
2025-12-01,2000.0,2030.0,2000.0,2015.0,164208.0
2025-12-02,2020.0,2510.0,2005.0,2150.0,5865473.0
2025-12-03,2200.0,2230.0,2015.0,2020.0,844335.0
2025-12-04,2025.0,2035.0,2010.0,2020.0,223532.0
2025-12-05,2025.0,2040.0,2015.0,2035.0,118733.0
2025-12-08,2020.0,2060.0,1999.0,2000.0,564392.0
2025-12-09,1998.0,2005.0,1994.0,1997.0,260167.0
2025-12-10,1997.0,2000.0,1993.0,1997.0,119820.0
2025-12-11,1997.0,2000.0,1992.0,1996.0,251563.0
2025-12-12,1995.0,1999.0,1993.0,1994.0,65813.0
2025-12-15,2000.0,2010.0,1994.0,2000.0,123652.0
2025-12-16,2000.0,2000.0,1988.0,1995.0,85839.0
2025-12-17,1992.0,2000.0,1987.0,1997.0,120002.0
2025-12-18,1996.0,1997.0,1989.0,1994.0,93909.0
2025-12-19,1994.0,1996.0,1986.0,1996.0,62777.0
2025-12-22,1995.0,2005.0,1994.0,2005.0,66732.0
2025-12-23,2000.0,2005.0,1991.0,1998.0,100962.0
2025-12-24,1997.0,2000.0,1989.0,1995.0,131079.0
2025-12-26,1994.0,2000.0,1991.0,1991.0,67445.0
2025-12-29,1991.0,1996.0,1991.0,1994.0,18538.0
2025-12-30,1994.0,2005.0,1979.0,1990.0,66972.0
2026-01-02,1990.0,1995.0,1987.0,1991.0,34288.0
2026-01-05,1991.0,1999.0,1990.0,1995.0,29694.0
2026-01-06,1995.0,2000.0,1991.0,1999.0,76863.0
2026-01-07,1999.0,2000.0,1992.0,1999.0,34055.0
2026-01-08,1999.0,1999.0,1991.0,1992.0,37164.0
2026-01-09,1993.0,1999.0,1993.0,1996.0,21442.0
2026-01-12,1996.0,1996.0,1993.0,1994.0,31712.0
2026-01-13,1994.0,1999.0,1990.0,1990.0,107669.0
2026-01-14,1992.0,1997.0,1981.0,1994.0,79125.0
2026-01-15,1992.0,1993.0,1986.0,1987.0,49998.0
2026-01-16,1986.0,1995.0,1985.0,1987.0,82958.0
2026-01-19,1987.0,1994.0,1980.0,1987.0,55712.0
2026-01-20,1987.0,1990.0,1977.0,1988.0,90101.0
2026-01-21,1977.0,1988.0,1977.0,1978.0,61942.0
2026-01-22,1980.0,1989.0,1979.0,1983.0,44486.0
2026-01-23,1983.0,1992.0,1983.0,1992.0,35468.0
2026-01-26,1992.0,1997.0,1985.0,1991.0,49888.0
2026-01-27,1991.0,1996.0,1988.0,1990.0,28755.0
