Date,Open,High,Low,Close,Volume
2025-12-01,4500.0,5900.0,3045.0,3335.0,59833920.0
2025-12-02,3720.0,4335.0,3645.0,4335.0,4770357.0
2025-12-03,5500.0,5630.0,3640.0,3640.0,12885670.0
2025-12-04,3785.0,3840.0,3160.0,3200.0,2915330.0
2025-12-05,3115.0,3150.0,2640.0,2655.0,1555432.0
2025-12-08,2605.0,2625.0,2305.0,2360.0,840865.0
2025-12-09,2270.0,2325.0,2060.0,2060.0,592810.0
2025-12-10,2065.0,2225.0,2040.0,2055.0,445581.0
2025-12-11,2040.0,2060.0,2020.0,2035.0,291055.0
2025-12-12,2070.0,2125.0,2030.0,2030.0,160602.0
2025-12-15,2030.0,2045.0,2015.0,2015.0,180279.0
2025-12-16,2000.0,2005.0,1987.0,1996.0,529930.0
2025-12-17,1996.0,2015.0,1995.0,1997.0,129540.0
2025-12-18,1997.0,1999.0,1993.0,1994.0,243245.0
2025-12-19,1995.0,1999.0,1984.0,1990.0,217067.0
2025-12-22,1990.0,2005.0,1989.0,1997.0,192783.0
2025-12-23,1998.0,2005.0,1992.0,1993.0,255697.0
2025-12-24,1993.0,2000.0,1993.0,1994.0,76312.0
2025-12-26,2000.0,2000.0,1990.0,1990.0,94969.0
2025-12-29,1992.0,1996.0,1990.0,1990.0,71433.0
2025-12-30,1992.0,1993.0,1990.0,1992.0,33854.0
2026-01-02,1992.0,1997.0,1987.0,1995.0,50401.0
2026-01-05,1993.0,2030.0,1989.0,1992.0,114947.0
2026-01-06,1995.0,2005.0,1990.0,1994.0,94609.0
2026-01-07,1993.0,2005.0,1992.0,1994.0,73817.0
2026-01-08,1993.0,2000.0,1986.0,1987.0,93733.0
2026-01-09,1987.0,1997.0,1985.0,1993.0,36182.0
2026-01-12,1993.0,1998.0,1987.0,1988.0,109119.0
2026-01-13,1988.0,1988.0,1979.0,1982.0,146408.0
2026-01-14,1990.0,1990.0,1976.0,1981.0,287869.0
2026-01-15,1988.0,1991.0,1978.0,1980.0,77995.0
2026-01-16,1980.0,1990.0,1978.0,1979.0,102107.0
2026-01-19,1980.0,1985.0,1977.0,1978.0,121739.0
2026-01-20,1979.0,1979.0,1972.0,1975.0,197835.0
2026-01-21,1975.0,1980.0,1963.0,1968.0,112460.0
2026-01-22,1970.0,1977.0,1968.0,1975.0,39595.0
2026-01-23,1975.0,1981.0,1972.0,1976.0,76644.0
2026-01-26,1976.0,1989.0,1976.0,1989.0,76763.0
2026-01-27,1983.0,1990.0,1982.0,1984.0,79873.0
