Date,Open,High,Low,Close,Volume
2025-11-24,23250.0,30200.0,23250.0,30200.0,686460.0
2025-11-25,39250.0,39250.0,39250.0,39250.0,30460.0
2025-11-26,51000.0,51000.0,44300.0,51000.0,2755294.0
2025-11-27,49000.0,55700.0,48000.0,51300.0,3079820.0
2025-11-28,52500.0,66600.0,51500.0,66600.0,1503038.0
2025-12-01,76000.0,83500.0,67400.0,72300.0,4309637.0
2025-12-02,70600.0,75100.0,67000.0,72300.0,813629.0
2025-12-03,74000.0,76200.0,69000.0,70500.0,472871.0
2025-12-04,70000.0,70100.0,63100.0,63800.0,587957.0
2025-12-05,62900.0,67300.0,60800.0,64000.0,600034.0
2025-12-08,63100.0,64800.0,57700.0,58300.0,327058.0
2025-12-09,57900.0,62600.0,55300.0,59300.0,375408.0
2025-12-10,59800.0,63000.0,58300.0,62200.0,225006.0
2025-12-11,62700.0,68900.0,60400.0,65400.0,364723.0
2025-12-12,65900.0,74500.0,64400.0,70300.0,556691.0
2025-12-15,69400.0,74300.0,67300.0,74300.0,303565.0
2025-12-16,74200.0,75500.0,67600.0,69300.0,295115.0
2025-12-17,69000.0,73300.0,61300.0,62300.0,430230.0
2025-12-18,60700.0,64400.0,60000.0,60100.0,171323.0
2025-12-19,61900.0,66100.0,60500.0,64100.0,269089.0
2025-12-22,66600.0,66700.0,62300.0,63300.0,122208.0
2025-12-23,63300.0,63300.0,59800.0,60000.0,178217.0
2025-12-24,60500.0,60500.0,58200.0,58700.0,96129.0
2025-12-26,58700.0,59800.0,55100.0,59400.0,120775.0
2025-12-29,59400.0,59500.0,53800.0,54000.0,239692.0
2025-12-30,54200.0,54200.0,51200.0,52500.0,139317.0
2026-01-02,53300.0,53500.0,51100.0,52000.0,48482.0
2026-01-05,51100.0,52500.0,50000.0,52500.0,60965.0
2026-01-06,52600.0,52700.0,50400.0,50800.0,78553.0
2026-01-07,51600.0,51600.0,49450.0,50900.0,72751.0
2026-01-08,51700.0,52600.0,50200.0,52400.0,56072.0
2026-01-09,52300.0,53400.0,50500.0,52500.0,42332.0
2026-01-12,55600.0,57500.0,52900.0,55500.0,200041.0
2026-01-13,55800.0,56800.0,53400.0,55500.0,86974.0
2026-01-14,56200.0,65100.0,55000.0,62200.0,270803.0
2026-01-15,62100.0,63200.0,58200.0,59300.0,105260.0
2026-01-16,60500.0,64300.0,58700.0,62400.0,134170.0
2026-01-19,64700.0,74900.0,62800.0,71000.0,332947.0
2026-01-20,72600.0,91500.0,71300.0,89500.0,651129.0
2026-01-21,83400.0,84000.0,73600.0,75400.0,308781.0
2026-01-22,80500.0,96500.0,78500.0,92900.0,521588.0
2026-01-23,91700.0,100800.0,88200.0,94300.0,356945.0
2026-01-26,92000.0,98200.0,89200.0,91000.0,164780.0
2026-01-27,91800.0,113700.0,90700.0,108400.0,481095.0
