Date,Open,High,Low,Close,Volume
1995-12-05,,,,,
1995-12-06,,,,,
1995-12-07,,,,,
1995-12-08,,,,,
1995-12-11,,,,,
1995-12-12,,,,,
1995-12-13,,,,,
1995-12-14,,,,,
1995-12-15,,,,,
1995-12-18,,,,,
1995-12-19,,,,,
1995-12-20,,,,,
1995-12-21,,,,,
1995-12-22,,,,,
1995-12-26,,,,,
1995-12-27,,,,,
1995-12-28,,,,,
1995-12-29,,,,,
1996-01-02,,,,,
1996-01-03,,,,,
1996-01-04,,,,,
1996-01-05,,,,,
1996-01-08,,,,,
1996-01-09,,,,,
1996-01-10,,,,,
1996-01-11,,,,,
1996-01-12,,,,,
1996-01-15,,,,,
1996-01-16,,,,,
1996-01-17,,,,,
1996-01-18,,,,,
1996-01-19,,,,,
1996-01-22,,,,,
1996-01-23,,,,,
1996-01-24,,,,,
1996-01-25,,,,,
1996-01-26,,,,,
1996-01-29,,,,,
1996-01-30,,,,,
1996-01-31,,,,,
1996-02-01,,,,,
1996-02-02,,,,,
1996-02-05,,,,,
1996-02-06,,,,,
1996-02-07,,,,,
1996-02-08,,,,,
1996-02-09,,,,,
1996-02-12,,,,,
1996-02-13,,,,,
1996-02-14,,,,,
1996-02-15,,,,,
1996-02-16,,,,,
1996-02-20,,,,,
1996-02-21,,,,,
1996-02-22,,,,,
1996-02-23,,,,,
1996-02-26,,,,,
1996-02-27,,,,,
1996-02-28,,,,,
1996-02-29,,,,,
1996-03-01,,,,,
1996-03-04,,,,,
1996-03-05,,,,,
1996-03-06,,,,,
1996-03-07,,,,,
1996-03-08,,,,,
1996-03-11,,,,,
1996-03-12,,,,,
1996-03-13,,,,,
1996-03-14,,,,,
1996-03-15,,,,,
1996-03-18,8.9374361038208,8.9374361038208,8.9374361038208,8.9374361038208,500.0
1996-03-19,9.026806831359863,9.026806831359863,9.026806831359863,9.026806831359863,18500.0
1996-03-20,8.9374361038208,8.9374361038208,8.9374361038208,8.9374361038208,3400.0
1996-03-21,8.9374361038208,8.9374361038208,8.9374361038208,8.9374361038208,0.0
1996-03-22,9.116180419921875,9.116180419921875,9.116180419921875,9.116180419921875,350.0
1996-03-25,9.205556869506836,9.205556869506836,9.205556869506836,9.205556869506836,1100.0
1996-03-26,9.250242233276367,9.250242233276367,9.16086791218191,9.250242233276367,1550.0
1996-03-27,9.2055567671613,9.2055567671613,9.160869598388672,9.160869598388672,900.0
1996-03-28,9.026806831359863,9.026806831359863,9.026806831359863,9.026806831359863,2500.0
1996-03-29,9.2055567671613,9.2055567671613,9.116182429616044,9.160869598388672,3100.0
1996-04-01,9.205555481485801,9.205555481485801,9.026806831359863,9.026806831359863,4900.0
1996-04-02,8.9821195602417,8.9821195602417,8.892745236259195,8.9821195602417,31450.0
1996-04-03,9.026806831359863,9.026806831359863,9.026806831359863,9.026806831359863,900.0
1996-04-04,9.071493993891348,9.071493993891348,9.026806831359863,9.026806831359863,1500.0
1996-04-08,8.937433030870226,8.937433030870226,8.848058700561523,8.848058700561523,900.0
1996-04-09,8.982120196024578,8.982120196024578,8.848058700561523,8.848058700561523,500.0
1996-04-10,9.02681046485901,9.02681046485901,8.9374361038208,8.9374361038208,4300.0
1996-04-11,8.9821195602417,8.9821195602417,8.9821195602417,8.9821195602417,150.0
1996-04-12,8.982119668828378,9.026806831359863,8.982119668828378,9.026806831359863,1000.0
1996-04-15,9.026806831359863,9.026806831359863,9.026806831359863,9.026806831359863,200.0
1996-04-16,9.160869598388672,9.160869598388672,9.160869598388672,9.160869598388672,12650.0
1996-04-17,9.205554737764245,9.205554737764245,9.116180419921875,9.116180419921875,6400.0
1996-04-18,9.07149326100069,9.116180419921875,9.07149326100069,9.116180419921875,5550.0
1996-04-19,9.116180419921875,9.116180419921875,9.116180419921875,9.116180419921875,2300.0
1996-04-22,9.116181156422831,9.116181156422831,9.026806831359863,9.026806831359863,6300.0
1996-04-23,9.02681046485901,9.02681046485901,8.9374361038208,8.9374361038208,14500.0
1996-04-24,8.937435054299819,8.937435054299819,8.848060703756822,8.89274787902832,2550.0
1996-04-25,8.803371535407173,8.892745865715876,8.803371535407173,8.848058700561523,5400.0
1996-04-26,8.892745236259195,9.026806722232951,8.892745236259195,8.9821195602417,16450.0
1996-04-29,9.071493993891348,9.071493993891348,8.982119668828378,9.026806831359863,2550.0
1996-04-30,9.026807888388046,9.11618222391664,9.026807888388046,9.071495056152344,16850.0
1996-05-01,9.071493993891348,9.071493993891348,9.026806831359863,9.026806831359863,6000.0
1996-05-02,9.026806722232951,9.071493884224203,8.9821195602417,8.9821195602417,16150.0
1996-05-03,9.026806831359863,9.026806831359863,8.982119668828378,9.026806831359863,9000.0
1996-05-06,8.9821195602417,9.026806722232951,8.937432398250447,8.9821195602417,7050.0
1996-05-07,8.982123284339904,9.02681046485901,8.892748923301697,8.9374361038208,15800.0
1996-05-08,8.89274787902832,8.937435054299819,8.803373528485322,8.89274787902832,8800.0
1996-05-09,9.026806722232951,9.026806722232951,8.892745236259195,8.9821195602417,14250.0
1996-05-10,8.982123284339904,9.02681046485901,8.9374361038208,8.9374361038208,7700.0
1996-05-13,8.937432398250447,9.026806722232951,8.937432398250447,8.9821195602417,8100.0
1996-05-14,8.9374361038208,8.982123284339904,8.803374562263489,8.9374361038208,33000.0
1996-05-15,8.8033721777109,8.8033721777109,8.669310672466572,8.713997840881348,3200.0
1996-05-16,8.624624544260454,8.803373239478287,8.624624544260454,8.758686065673828,4050.0
1996-05-17,8.758684905533938,8.758684905533938,8.624623401877807,8.669310569763184,2700.0
1996-05-20,8.669311424611147,8.669311424611147,8.535249907735716,8.624624252319336,9500.0
1996-05-21,8.579937080027527,8.624624252319336,8.445875563152097,8.624624252319336,14300.0
1996-05-22,8.579936881339986,8.579936881339986,8.44587536756905,8.535249710083008,3000.0
1996-05-23,8.624624252319336,8.624624252319336,8.624624252319336,8.624624252319336,50.0
1996-05-24,8.535250196651537,8.758686065673828,8.535250196651537,8.758686065673828,27350.0
1996-05-28,8.758684905533938,8.758684905533938,8.579936233992429,8.669310569763184,16600.0
1996-05-29,8.579936981201172,8.624624152978262,8.579936981201172,8.579936981201172,16750.0
1996-05-30,8.579936981201172,8.579936981201172,8.579936981201172,8.579936981201172,2100.0
1996-05-31,8.624624252319336,8.669311424611147,8.624624252319336,8.624624252319336,5900.0
1996-06-03,8.579938523312832,8.579938523312832,8.311815444459306,8.401189804077148,10900.0
1996-06-04,8.35650102505509,8.535249710083008,8.35650102505509,8.535249710083008,8700.0
1996-06-05,8.49056339263916,8.49056339263916,8.49056339263916,8.49056339263916,2100.0
1996-06-06,8.669310569763184,8.713997737648562,8.669310569763184,8.669310569763184,1600.0
1996-06-07,8.579936981201172,8.624624152978262,8.535249809424084,8.579936981201172,3900.0
1996-06-10,8.713997840881348,8.713997840881348,8.713997840881348,8.713997840881348,2500.0
1996-06-11,8.713997737648562,8.713997737648562,8.669310569763184,8.669310569763184,3300.0
1996-06-12,8.669311424611147,8.669311424611147,8.579937080027527,8.624624252319336,700.0
1996-06-13,8.535249710083008,8.579936881339986,8.44587536756905,8.535249710083008,6550.0
1996-06-14,8.624624252319336,8.624624252319336,8.624624252319336,8.624624252319336,700.0
1996-06-17,8.713998395110924,8.713998395110924,8.535249710083008,8.535249710083008,3650.0
1996-06-18,8.669310672466572,8.713997840881348,8.669310672466572,8.713997840881348,1850.0
1996-06-19,8.713997737648562,8.713997737648562,8.669310569763184,8.669310569763184,2100.0
1996-06-20,8.713997840881348,8.713997840881348,8.713997840881348,8.713997840881348,150.0
1996-06-21,8.669310672466572,8.713997840881348,8.669310672466572,8.713997840881348,1150.0
1996-06-24,8.713997840881348,8.713997840881348,8.713997840881348,8.713997840881348,3150.0
1996-06-25,8.713997840881348,8.713997840881348,8.713997840881348,8.713997840881348,1550.0
1996-06-26,8.713997840881348,8.713997840881348,8.713997840881348,8.713997840881348,350.0
1996-06-27,8.669311424611147,8.669311424611147,8.579937080027527,8.624624252319336,1900.0
1996-06-28,8.669310569763184,8.669310569763184,8.669310569763184,8.669310569763184,3400.0
1996-07-01,8.579936233992429,8.669310569763184,8.579936233992429,8.669310569763184,550.0
1996-07-02,8.669311324755352,8.669311324755352,8.579936981201172,8.579936981201172,3450.0
1996-07-03,8.579936981201172,8.579936981201172,8.579936981201172,8.579936981201172,0.0
1996-07-05,8.401189804077148,8.401189804077148,8.401189804077148,8.401189804077148,50.0
1996-07-08,8.490561054598901,8.490561054598901,8.311812400817871,8.311812400817871,1950.0
1996-07-09,8.356502624268227,8.401189804077148,8.356502624268227,8.401189804077148,150.0
1996-07-10,8.401189804077148,8.401189804077148,8.401189804077148,8.401189804077148,1050.0
1996-07-11,8.445873891153644,8.445873891153644,8.1777509104821,8.311812400817871,1050.0
1996-07-12,8.222439765930176,8.222439765930176,8.043691075366477,8.222439765930176,1000.0
1996-07-15,7.999001979827881,7.999001979827881,7.999001979827881,7.999001979827881,100.0
1996-07-16,8.043687831271779,8.043687831271779,7.864939212799072,7.864939212799072,3050.0
1996-07-17,7.999003902725551,8.222439765930176,7.999003902725551,8.222439765930176,2100.0
1996-07-18,8.222437966836466,8.267125129699707,8.222437966836466,8.267125129699707,2750.0
1996-07-19,8.311813807619211,8.311813807619211,8.088377952575684,8.088377952575684,15850.0
1996-07-22,7.999003610558273,8.088377952575684,7.999003610558273,8.088377952575684,350.0
1996-07-23,8.13306512358439,8.13306512358439,8.043690781566978,8.088377952575684,8000.0
1996-07-24,7.999002562628852,8.088376892937555,7.90962823232015,8.043689727783203,40350.0
1996-07-25,8.043689727783203,8.043689727783203,8.043689727783203,8.043689727783203,400.0
1996-07-26,7.999001979827881,7.999001979827881,7.999001979827881,7.999001979827881,100.0
1996-07-29,7.864941388711162,7.864941388711162,7.775567054748535,7.775567054748535,400.0
1996-07-30,7.775567054748535,7.775567054748535,7.775567054748535,7.775567054748535,2150.0
1996-07-31,7.8649404941324415,7.999001979827881,7.8649404941324415,7.999001979827881,1900.0
1996-08-01,8.088376892937555,8.088376892937555,8.043689727783203,8.043689727783203,2850.0
1996-08-02,8.088376892937555,8.133064058091906,8.043689727783203,8.043689727783203,2800.0
1996-08-05,8.088376892937555,8.088376892937555,8.043689727783203,8.043689727783203,800.0
1996-08-06,8.177752294593095,8.177752294593095,8.088377952575684,8.088377952575684,1050.0
1996-08-07,8.177750803973224,8.267125129699707,8.177750803973224,8.267125129699707,600.0
1996-08-08,8.17775143633832,8.17775143633832,8.043689937381954,8.133064270019531,1850.0
1996-08-09,8.13306346552332,8.13306346552332,7.999001979827881,7.999001979827881,12650.0
1996-08-12,8.177751223246256,8.177751223246256,7.954315397474502,8.043689727783203,6900.0
1996-08-13,7.864939212799072,7.864939212799072,7.864939212799072,7.864939212799072,550.0
1996-08-14,8.133064058091906,8.133064058091906,8.043689727783203,8.043689727783203,450.0
1996-08-15,7.9543137550354,7.9543137550354,7.820252287253905,7.9543137550354,950.0
1996-08-16,7.954313522035425,7.954313522035425,7.864939212799072,7.864939212799072,650.0
1996-08-19,7.864941013881138,7.864941013881138,7.820253849029541,7.820253849029541,6000.0
1996-08-20,7.954315397474502,8.043689727783203,7.954315397474502,8.043689727783203,600.0
1996-08-21,8.043689102422997,8.222437749143507,8.043689102422997,8.177750587463379,14500.0
1996-08-22,8.222437749143507,8.222437749143507,8.177750587463379,8.177750587463379,1400.0
1996-08-23,8.267126938571101,8.267126938571101,8.222439765930176,8.222439765930176,400.0
1996-08-26,8.203432119809664,8.203432119809664,8.158604621887207,8.158604621887207,450.0
1996-08-27,8.2034329953401,8.248260498046875,8.06895048721977,8.248260498046875,550.0
1996-08-28,8.248260498046875,8.248260498046875,8.248260498046875,8.248260498046875,2100.0
1996-08-29,8.203432119809664,8.203432119809664,8.11377712396475,8.158604621887207,15050.0
1996-08-30,8.158605492633322,8.248260498046875,8.158605492633322,8.248260498046875,2550.0
1996-09-03,8.02412223815918,8.02412223815918,7.8896397425475735,8.02412223815918,11300.0
1996-09-04,8.02412223815918,8.02412223815918,8.02412223815918,8.02412223815918,100.0
1996-09-05,8.068946838378906,8.068946838378906,8.068946838378906,8.068946838378906,950.0
1996-09-06,8.11377533366171,8.11377533366171,7.97929286956787,7.979292869567871,6400.0
