ticker,name,market
005930.KS,005930,KOSPI
000660.KS,000660,KOSPI
373220.KS,373220,KOSPI
005380.KS,005380,KOSPI
005935.KS,005935,KOSPI
207940.KS,207940,KOSPI
402340.KS,402340,KOSPI
012450.KS,012450,KOSPI
329180.KS,329180,KOSPI
034020.KS,034020,KOSPI
000270.KS,000270,KOSPI
105560.KS,105560,KOSPI
028260.KS,028260,KOSPI
068270.KS,068270,KOSPI
042660.KS,042660,KOSPI
035420.KS,035420,KOSPI
055550.KS,055550,KOSPI
012330.KS,012330,KOSPI
032830.KS,032830,KOSPI
015760.KS,015760,KOSPI
010130.KS,010130,KOSPI
267260.KS,267260,KOSPI
006400.KS,006400,KOSPI
005490.KS,005490,KOSPI
009540.KS,009540,KOSPI
086790.KS,086790,KOSPI
035720.KS,035720,KOSPI
010140.KS,010140,KOSPI
051910.KS,051910,KOSPI
064350.KS,064350,KOSPI
298040.KS,298040,KOSPI
000810.KS,000810,KOSPI
316140.KS,316140,KOSPI
034730.KS,034730,KOSPI
003670.KS,003670,KOSPI
009150.KS,009150,KOSPI
006800.KS,006800,KOSPI
138040.KS,138040,KOSPI
011200.KS,011200,KOSPI
267250.KS,267250,KOSPI
096770.KS,096770,KOSPI
086280.KS,086280,KOSPI
042700.KS,042700,KOSPI
024110.KS,024110,KOSPI
010120.KS,010120,KOSPI
033780.KS,033780,KOSPI
272210.KS,272210,KOSPI
066570.KS,066570,KOSPI
047810.KS,047810,KOSPI
352820.KS,352820,KOSPI
0126Z0.KS,0126Z0,KOSPI
017670.KS,017670,KOSPI
000150.KS,000150,KOSPI
003550.KS,003550,KOSPI
030200.KS,030200,KOSPI
018260.KS,018260,KOSPI
259960.KS,259960,KOSPI
307950.KS,307950,KOSPI
000720.KS,000720,KOSPI
079550.KS,079550,KOSPI
010950.KS,010950,KOSPI
071050.KS,071050,KOSPI
047050.KS,047050,KOSPI
323410.KS,323410,KOSPI
039490.KS,039490,KOSPI
278470.KS,278470,KOSPI
005387.KS,005387,KOSPI
005830.KS,005830,KOSPI
326030.KS,326030,KOSPI
007660.KS,007660,KOSPI
003230.KS,003230,KOSPI
005940.KS,005940,KOSPI
377300.KS,377300,KOSPI
000100.KS,000100,KOSPI
003490.KS,003490,KOSPI
000880.KS,000880,KOSPI
443060.KS,443060,KOSPI
161390.KS,161390,KOSPI
016360.KS,016360,KOSPI
090430.KS,090430,KOSPI
454910.KS,454910,KOSPI
180640.KS,180640,KOSPI
006260.KS,006260,KOSPI
032640.KS,032640,KOSPI
064400.KS,064400,KOSPI
128940.KS,128940,KOSPI
029780.KS,029780,KOSPI
028050.KS,028050,KOSPI
005385.KS,005385,KOSPI
022100.KS,022100,KOSPI
011070.KS,011070,KOSPI
034220.KS,034220,KOSPI
078930.KS,078930,KOSPI
001040.KS,001040,KOSPI
021240.KS,021240,KOSPI
241560.KS,241560,KOSPI
066970.KS,066970,KOSPI
088980.KS,088980,KOSPI
450080.KS,450080,KOSPI
267270.KS,267270,KOSPI
052690.KS,052690,KOSPI
138930.KS,138930,KOSPI
001440.KS,001440,KOSPI
036570.KS,036570,KOSPI
009830.KS,009830,KOSPI
082740.KS,082740,KOSPI
271560.KS,271560,KOSPI
062040.KS,062040,KOSPI
000990.KS,000990,KOSPI
175330.KS,175330,KOSPI
251270.KS,251270,KOSPI
011790.KS,011790,KOSPI
004020.KS,004020,KOSPI
051900.KS,051900,KOSPI
002380.KS,002380,KOSPI
302440.KS,302440,KOSPI
011780.KS,011780,KOSPI
035250.KS,035250,KOSPI
011170.KS,011170,KOSPI
111770.KS,111770,KOSPI
036460.KS,036460,KOSPI
017800.KS,017800,KOSPI
103140.KS,103140,KOSPI
018880.KS,018880,KOSPI
031210.KS,031210,KOSPI
457190.KS,457190,KOSPI
097950.KS,097950,KOSPI
004990.KS,004990,KOSPI
103590.KS,103590,KOSPI
014680.KS,014680,KOSPI
071970.KS,071970,KOSPI
204320.KS,204320,KOSPI
088350.KS,088350,KOSPI
012750.KS,012750,KOSPI
004170.KS,004170,KOSPI
489790.KS,489790,KOSPI
008930.KS,008930,KOSPI
439260.KS,439260,KOSPI
009420.KS,009420,KOSPI
001720.KS,001720,KOSPI
012510.KS,012510,KOSPI
353200.KS,353200,KOSPI
005850.KS,005850,KOSPI
383220.KS,383220,KOSPI
009970.KS,009970,KOSPI
051600.KS,051600,KOSPI
026960.KS,026960,KOSPI
004800.KS,004800,KOSPI
028670.KS,028670,KOSPI
004370.KS,004370,KOSPI
000240.KS,000240,KOSPI
001450.KS,001450,KOSPI
001430.KS,001430,KOSPI
139480.KS,139480,KOSPI
081660.KS,081660,KOSPI
030000.KS,030000,KOSPI
139130.KS,139130,KOSPI
097230.KS,097230,KOSPI
011210.KS,011210,KOSPI
023590.KS,023590,KOSPI
002790.KS,002790,KOSPI
336260.KS,336260,KOSPI
000120.KS,000120,KOSPI
361610.KS,361610,KOSPI
020150.KS,020150,KOSPI
192820.KS,192820,KOSPI
010060.KS,010060,KOSPI
003690.KS,003690,KOSPI
023530.KS,023530,KOSPI
047040.KS,047040,KOSPI
462870.KS,462870,KOSPI
018670.KS,018670,KOSPI
