Window,CAGR,MDD,Sharpe,Trades
300,0.09186737569912329,-0.22189583195411167,0.7489712700637641,48
250,0.0848182375425488,-0.22096656061061667,0.7212464393437793,67
220,0.082534011134207,-0.22730837995864575,0.7160897708761551,75
90,0.07856634317367783,-0.2204721948474408,0.699855645034474,127
200,0.07798341226680172,-0.22828468168785554,0.680333734395566,82
100,0.07137113201739709,-0.2521048372523793,0.6356861341146018,123
180,0.07238669139168685,-0.24227062032110977,0.6308032897677839,91
150,0.06932064006673744,-0.19640960973901359,0.6093951869232415,119
185,0.06904464397033538,-0.2618230019702246,0.6017959178921777,93
120,0.0670763866880304,-0.21819491864148347,0.5961136079179693,120
50,0.062047208641989204,-0.36168106386863885,0.5583213330224572,196
60,0.05979728178837207,-0.30247769044042766,0.5369547621233098,184
