Date,From,To,Signal
2018-12-31,QLD,BTAL,DANGER
2019-02-04,BTAL,XLU,DANGER
2019-02-05,XLU,QLD,NORMAL
2019-02-08,QLD,XLU,DANGER
2019-02-13,XLU,QLD,NORMAL
2019-06-03,QLD,TLT,DANGER
2019-06-05,TLT,QLD,NORMAL
2020-03-10,QLD,TLT,DANGER
2020-03-13,TLT,TAIL,DANGER
2020-03-16,TAIL,TLT,DANGER
2020-03-18,TLT,TAIL,DANGER
2020-03-24,TAIL,TLT,DANGER
2020-04-15,TLT,QLD,NORMAL
2022-01-24,QLD,DBC,DANGER
2022-01-25,DBC,PDBC,DANGER
2022-01-26,PDBC,DBC,DANGER
2022-01-27,DBC,PDBC,DANGER
2022-02-01,PDBC,DBC,DANGER
2022-02-02,DBC,PDBC,DANGER
2022-02-04,PDBC,DBC,DANGER
2022-02-08,DBC,PDBC,DANGER
2022-02-14,PDBC,DBC,DANGER
2022-02-15,DBC,PDBC,DANGER
2022-02-16,PDBC,DBC,DANGER
2022-03-02,DBC,PDBC,DANGER
2022-03-03,PDBC,DBC,DANGER
2022-03-04,DBC,PDBC,DANGER
2022-03-08,PDBC,DBC,DANGER
2022-03-10,DBC,PDBC,DANGER
2022-03-14,PDBC,DBC,DANGER
2022-03-17,DBC,PDBC,DANGER
2022-03-18,PDBC,DBC,DANGER
2022-04-12,DBC,PFIX,DANGER
2022-04-13,PFIX,DBC,DANGER
2022-04-20,DBC,PFIX,DANGER
2022-04-21,PFIX,DBC,DANGER
2022-04-25,DBC,PDBC,DANGER
2022-04-26,PDBC,DBC,DANGER
2022-05-02,DBC,PFIX,DANGER
2022-05-20,PFIX,DBC,DANGER
2022-05-23,DBC,PDBC,DANGER
2022-05-24,PDBC,DBC,DANGER
2022-06-02,DBC,PDBC,DANGER
2022-06-03,PDBC,DBC,DANGER
2022-06-09,DBC,PDBC,DANGER
2022-06-13,PDBC,DBC,DANGER
2022-06-14,DBC,PFIX,DANGER
2022-08-01,PFIX,DBC,DANGER
2022-08-08,DBC,PFIX,DANGER
2022-08-09,PFIX,DBC,DANGER
2022-08-10,DBC,KMLM,DANGER
2022-08-11,KMLM,DBC,DANGER
2022-08-12,DBC,PFIX,DANGER
2022-08-15,PFIX,DBC,DANGER
2022-08-16,DBC,PFIX,DANGER
2022-12-16,PFIX,BTAL,DANGER
2022-12-20,BTAL,PFIX,DANGER
2023-01-06,PFIX,BTAL,DANGER
2023-01-11,BTAL,PFIX,DANGER
2023-01-17,PFIX,GLD,DANGER
2023-01-18,GLD,PFIX,DANGER
2023-01-19,PFIX,GLD,DANGER
2023-01-20,GLD,PFIX,DANGER
2023-02-03,PFIX,QLD,NORMAL
2025-03-11,QLD,GLD,DANGER
2025-04-08,GLD,PFIX,DANGER
2025-04-10,PFIX,GLD,DANGER
2025-04-15,GLD,PFIX,DANGER
2025-04-17,PFIX,GLD,DANGER
2025-04-22,GLD,PFIX,DANGER
2025-04-28,PFIX,GLD,DANGER
2025-05-01,GLD,PFIX,DANGER
2025-05-13,PFIX,QLD,NORMAL
